Rank,Crime Index ▲,City / Population
264,"1,525","Clovis, CA / 98,815"
265,"1,527","Oceanside, CA / 171,400"
266,"1,527","Paso Robles, CA"
267,"1,533","Pico Rivera, CA / 63,698"
268,"1,534","Dixon, CA / 18,718"
269,"1,538","West Covina, CA / 107,441"
270,"1,547","Sutter Creek, CA / 2,271"
271,"1,560","Ventura, CA"
272,"1,560","Farmersville, CA / 10,675"
273,"1,563","Ridgecrest, CA / 28,282"
274,"1,570","Lemoore, CA / 24,788"
275,"1,578","Willits, CA / 4,853"
276,"1,579","Vista, CA / 96,181"
277,"1,582","Yuba City, CA / 65,141"
278,"1,589","Campbell, CA / 40,327"
279,"1,591","Orland, CA / 7,451"
280,"1,593","Woodland, CA / 56,390"
281,"1,601","Waterford, CA / 8,579"
282,"1,603","Los Banos, CA / 36,626"
283,"1,603","Upland, CA / 75,089"
284,"1,604","Yucca Valley, CA / 21,083"
285,"1,628","Escondido, CA / 147,603"
286,"1,631","Kingsburg, CA / 11,582"
287,"1,632","El Segundo, CA / 16,839"
288,"1,633","Lake Elsinore, CA / 56,243"
289,"1,634","Albany, CA / 19,020"
290,"1,645","Lompoc, CA / 43,045"
291,"1,648","Santa Barbara, CA / 89,669"
292,"1,650","San Rafael, CA / 58,588"
293,"1,652","Imperial Beach, CA / 26,857"
294,"1,654","Patterson, CA / 20,736"
295,"1,655","San Diego, CA / 1,341,510"
296,"1,664","Hanford, CA / 54,523"
297,"1,665","Blythe, CA / 20,101"
298,"1,666","Placerville, CA / 10,415"
299,"1,679","Hawaiian Gardens, CA / 14,432"
300,"1,680","Woodlake, CA / 7,452"
301,"1,683","Gustine, CA / 5,610"
302,"1,685","Montebello, CA / 63,353"
303,"1,685","Exeter, CA / 10,468"
304,"1,688","Union City, CA / 71,675"
305,"1,692","Biggs, CA / 2,010"
306,"1,713","Covina, CA / 48,429"
307,"1,723","Gilroy, CA / 50,776"
308,"1,726","Fortuna, CA / 11,863"
309,"1,734","South Lake Tahoe, CA / 21,394"
310,"1,737","Manteca, CA / 70,693"
311,"1,745","Ontario, CA / 166,892"
312,"1,754","Mammoth Lakes, CA / 8,154"
313,"1,763","Taft, CA / 9,063"
314,"1,769","La Mesa, CA / 58,239"
315,"1,773","Cathedral City, CA / 52,550"
316,"1,779","Chico, CA / 87,517"
317,"1,780","Kerman, CA / 14,110"
318,"1,781","Downey, CA / 113,082"
319,"1,783","Livingston, CA / 13,461"
320,"1,785","Carson, CA / 92,475"
321,"1,786","Coalinga, CA / 17,235"
322,"1,791","Highland, CA / 54,032"
323,"1,793","La Quinta, CA / 38,774"
324,"1,794","Willows, CA / 6,118"
325,"1,797","Arcata, CA / 17,679"
326,"1,797","Rancho Mirage, CA / 17,634"
327,"1,798","Calexico, CA / 39,281"
328,"1,802","Palmdale, CA / 155,810"
329,"1,807","Mendota, CA / 11,360"
330,"1,808","Banning, CA / 30,281"
331,"1,808","Fowler, CA / 5,908"
332,"1,810","Lemon Grove, CA / 25,963"
333,"1,818","Reedley, CA / 24,858"
334,"1,822","El Cajon, CA / 101,582"
335,"1,823","Pittsburg, CA / 65,761"
336,"1,825","Culver City, CA / 39,353"
